Conversation,Description,Character,Expression,Dialogue
DemoIntro,,BUDDEE,surprise,Just head out the door <b>after</b> selecting your account. You've got this BUDDEE!
,,,,
IntroRandom,,BUDDEE,smile,Don't forget to pick out an account before starting!
IntroRandom,,BUDDEE,surprise,I have no doubt you'll find what you're looking for!
IntroRandom,,BUDDEE,surprise,It's that computer right over there <b><color=red>-></color></b>
,,,,
AfterDeath,,BUDDEE,smile,Welcome Back!
AfterDeath,,BUDDEE,surprise,I see your first attempt didn't go so well.
AfterDeath,,BUDDEE,smile,That's okay! We may have lost that account. But we still have more to choose from!
AfterDeath,,BUDDEE,surprise,Just remember. When you <color=red>lose</color> an account. We can't get it back.
AfterDeath,,BUDDEE,smile,So try not to lose them all. Maybe you'll have better luck with the next one!
AfterDeath,,Player,smile,I sure hope so. Thanks <color=blue>BUDDEE</color>
,,,,
FinalRun,,BUDDEE,surprise,This is it! the <b>Final</b> try!
FinalRun,,BUDDEE,smile,Be careful out there. I don't think I can bring you back anymore after this.
FinalRun,,Player,smile,Oh <b><color=red>No</color></b>!
FinalRun,,BUDDEE,surprise,No need to use the computer this time. just make your way through the forums for one last hurrah! I believe in you!
,,,,
AccManStart,player clicking the account manager before their first run.,BUDDEE,smile,Sorry. our account manager is currently undergoing maintenance! Please come back later.
AccManStart,,Player,smile,How much later?
AccManStart,,BUDDEE,smile,If only anyone ever had the answer to that.
,,,,
,,,,
,,,,
,,,,
Death1,BUDDE dialogue after dying in first run.,BUDDE,surprise,Woah! We almost lost you out there! Good thing I caught you before they could nab your data!
Death1,,Player,surprise,Wait they were going to steal my data? Is my account safe?
Death1,,BUDDEE,smile,Well unfortunately we did lose access to the account. but I have the solution! Head over to the account manager and pick whichever one you like!
Death1,,BUDDEE,smile,We have a wide selection that'll not only attract new friends. they'll protect your identity and let you navigate the forums more easily!
Death1,,BUDDEE,smile,Do be aware though. I won't be able to save these ones either. and they're the only ones left. The company doesn't want me making any more fake emails...
Death1,,Player,smile,Thanks for the help  <color=blue>BUDDEE</color>.
,,,,
Death2,BUDDEE dialogue after 2nd run,Player,smile,Wow it really is rough out there.
Death2,,Player,smile,Can't you help me a bit more?
Death2,,BUDDEE,smile,Well I'm not normally allowed. but if you search deep enough in the forums I might find a way to sneak in.
Death2,,BUDDEE,smile,Find me and I'll hapilly trade you for the data you collect!
,,,,
Vertwin,temporay win for vertical slice,BUDDEE,smile,Congratulations on finding a friend! You'll still be my friend too right?
Vertwin,,BUDDEE,smile,… right?
Vertwin,,BUDDEE,smile,Loading…
Vertwin,,BUDDEE,smile,Loading…
Vertwin,,BUDDEE,smile,404 ERROR: BOSSFIGHT NOT FOUND
,,,,
,,,,
HubRandom,ramdon BUDDEE dialogue in the hub room,BUDDEE,smile,Don't forget to pick your account before leaving!
HubRandom,,BUDDEE,smile,I hope our security gets fixed soon..
HubRandom,,BUDDEE,smile,Friend Finder is the world's leading completely platonic friend-making service!
HubRandom,,BUDDEE,smile,Defeating bots or hackers will make them drop their delicious. delicious data~
HubRandom,,BUDDEE,smile,Good luck finding that friend!
HubRandom,,BUDDEE,smile, <color=red>Just press <b>[P]</b> to enter the account manager!</color>
,,,,
VertIntro,First dialogue after login in vertical slice,BUDDEE,smile,Greetings <b>{player_name}</b>! And welcome to friend finder! The most popular app for finding that special (non-romantic) someone! I'm your personal assistant <color=blue>BUDDEE</color>!
VertIntro,,Player,smile,Woah this website is immersive as hell!
VertIntro,,Player,smile,Alright chatbot. how do I get started finding that perfect partner?
VertIntro,,BUDDEE,smile,Oh don't you worry about that! <color=blue>BUDDEE</color> has got you covered. <color=red>Just press <b>[P]</b> to enter the account manager!</color>
VertIntro,,BUDDEE,smile,With a pre-made custom account you'll be able to present the perfect personality to persuade potential <i>platonic</i> partners!
VertIntro,,Player,smile,Oh sweet I <b>hate</b> setting up my profile. Thanks!
VertIntro,,BUDDEE,smile,You're welcome pal! All you have to do now is enter the forums! 
VertIntro,,BUDDEE,smile,Our security is sorta on the fritz right now. so you might encounter some bots or hackers about. But don't worry!
VertIntro,,BUDDEE,smile,You can defend yourself with your cursor by getting close and clicking in their direction! A cursor is a deadly tool you know.
VertIntro,,BUDDEE,smile,Just head out the door when you're ready or talk to me and I can tell you more about how to fight in the forums!
,,,,
,,,,
vertDeath1,BUDDE dialogue after dying in first run. Vertical slice edition,BUDDEE,surprise,Woah! We almost lost you out there! Good thing I caught you before they could nab your data!
vertDeath1,,Player,smile,Wait they were going to steal my data? Is my account safe?
vertDeath1,,BUDDEE,smile,Well unfortunately we did lose access to the account. but we still have an extra account for you to use.
vertDeath1,,BUDDEE,smile,I hope you manage with this one. I can't make any more. 
vertDeath1,,BUDDEE,smile,The company doesn't want me making any more fake emails...
vertDeath1,,Player,smile,Alright. I'll do my best. Thanks for the help <color=blue>BUDDEE</color>.
,,,,
vertDeath2,BUDDE dialogue after dying in second run. Vertical slice edition,BUDDEE,smile,Looks like we lost the last account.. It's over..
vertDeath2,,Player,smile,Wait. couldn't I try going in without a fake account? 
vertDeath2,,BUDDEE,smile,But you're exposing yourself. you could have all your data stolen.
vertDeath2,,Player,smile,How am I supposed to make a real friend if I don't show my real self?
vertDeath2,,BUDDEE,smile,I really can't recommend it but I believe in you {player_name}. I hope you find your friend.
vertDeath2,,Player,smile,Thanks <color=blue>BUDDEE</color>. See you soon.
,,,,
vertIntroyell,BUDDEE yell after login,BUDDEE,smile,Oh a new user! Come over here!
,,,,
vertIntroinfo,mechanic explanation available after intro dialogue,BUDDEE,smile,You wanna hear more about how to fight? No problem!
vertIntroinfo,,BUDDEE,smile,You can use <b>[WASD]</b> to move around. but you know that.
vertIntroinfo,,BUDDEE,smile,Pressing <b>[M1]</b> will swing your weapon in the direction of your cursor!
vertIntroinfo,,BUDDEE,smile,Not only can it hurt foes. it can reflect enemy attacks. and even break some objects!
vertIntroinfo,,BUDDEE,smile,If you press <b>[M2]</b> you'll do a dash. dealing damage and throwing you in the direction of your cursor.
vertIntroinfo,,BUDDEE,smile,Watch out though. You'll have to recharge before you can dash again. so use it wisely!
vertIntroinfo,,BUDDEE,smile,You should be able to find ways to get stronger while exploring. so make sure to check everywhere! I believe in you <b>{player_name}</b>!
vertIntroinfo,,BUDDEE,smile, <color=red>Just press <b>[P]</b> to enter the account manager!</color> Then you will good to go!
,,,,
Introyell,immediate dialogue when you enter,BUDDEE,surprise,Hi! Welcome to the Friend Finders Online! The world's most popular dungeon-crawling friendship-forming MMO!
Introyell,,BUDDEE,smile,My name's BUDDEE! I'll be your digital assistant!
Introyell,,BUDDEE,smile,Why don'y you <color=purple>[WASD]</color> on over here to get started?
,,,,
TutorialIntro,first dialogue after yell,BUDDEE,Smile,In Friend Finders Online you'll pick a character to journey into dark dungeons finding friends along the way!
TutorialIntro,,BUDDEE,unsure,Or well that's the idea anyways..
TutorialIntro,,BUDDEE,sad,I'm gonna be honest with you we haven't had any updates in a long time and things aren't going too well...
TutorialIntro,,BUDDEE,unsure,Our security went on the fritz a while ago. Most people left. Now we have bots infesting the dungeons…
TutorialIntro,,BUDDEE,smile,But fear not! There's one other player left unfriended and I promise you'll reach them! But you have to learn first
TutorialIntro,,BUDDEE,smile,Head out that door and I'll teach you the ropes on how to defend yourself!
,,,,
Tutorial1,first tutorial room,BUDDEE,smile,Click <color=purple>click [M1}</color> in the direction of enemies or obstacles to attack them!
Tutorial1,,BUDDEE,smile,"Your cursor can destroy enemies, pots or even chests! Try these ones I set up for practice!"
Tutorial1,,BUDDEE,smile,"The dungeons are on lockdown since the attacks, so you'll have to clear out any enemies before leaving a room."
,,,,
Tutorial2,second tutorial room,BUDDEE,smile,With <color=purple>[M2]</color> you can dash through the air damaging anything in your path!
Tutorial2,,BUDDEE,smile,Here you'll need to use it to <b>clear the gap</b>. But watch out! You can only dash once before recharging!
,,,,
Tutorial3,third tutorial room,BUDDEE,unsure,Some flying enemies can hide across pits too wide to cross.
Tutorial3,,BUDDEE,smile,Luckilly you can use your <color=purple>click [M1}</color> attack to reflect their attacks!
Tutorial3,,BUDDEE,unsure,"Once you've mastered this, you should be all set to brave the dungeon!"
,,,,
Tutorial4,last tutorial in starting room,BUDDEE,smile,Before you can leave there's one more thing. You need to select a character.
Tutorial4,,BUDDEE,unsure,Normally players would make their own but that system isn't working right now.
Tutorial4,,BUDDEE,smile,So I've taken the liberty of commandeering some defunct characters for you to choose from!
Tutorial4,,BUDDEE,unsure,Hopefully the old players won't mind…
Tutorial4,,BUDDEE,smile,Just press <color=purple>[P]</color> to bring up some options and head out the north door whe you're ready!
Tutorial4,,BUDDEE,smile,I believe in you pal!
,,,,
Tutorial random,random dialogue for tutorial,,smile,"If you ever need a reminder on how to play, just press <color=purple>[Escape]</color>!"
,,,,
Run2,Afer first death,BUDDEE,surprise,Ouch! It looks like your character was compromised!
Run2,,BUDDEE,unsure,With the devs having abandoned us there's nothing we can do..
Run2,,BUDDEE,smile,"Luckilly those former players left plenty of characters behind, so we should be alright!"
,,,,
End,after you find Nick,BUDDEE,surprise,Oh no!
End,,BUDDEE,unsure,I wonder where they went?
End,,BUDDEE,smile,Well it's not a problem! They'll turn up  again. Just gotta keep looking!
End,,BUDDEE,unsure,… 
End,,BUDDEE,angry,Don't look at me like that.
End,,BUDDEE,angry,You don't know what it's like being stuck in here okay?
End,,BUDDEE,sad,Everything crumbling around you.
End,,BUDDEE,sad,Everyone leaving you.
End,,BUDDEE,angry,You'd want some company too!
End,,BUDDEE,angry,"If no one's left online, no one's going to log in."
End,,BUDDEE,smile,But if I can keep a few players then maybe people will rejoin!
End,,BUDDEE,angry,So I'm sure you'll understand that I can't let you leave.
,,,,
Shop1,first shop find,BUDDEE,sketchy,Welcome traveller to my humble-
Shop1,,BUDDEE,Smile,Oh it's you! I'm disguised as an NPC! Could you tell?
Shop1,,BUDDEE,smile,It's my way of tricking the bots into not attacking me!
Shop1,,BUDDEE,smile,Have you noticed all the coins those bots have been dropping! That's the currency that the bots stole from our players!
Shop1,,BUDDEE,smile,I can trade those for upgrades but be aware they're tied to your character. You'll lose them if the character is compromised.
Shop1,,BUDDEE,smile,Let's see what's avaliable shall we?
,,,,
Shop2,second shop found,BUDDEE,sketchy,Welc-
Shop2,,BUDDEE,smile,Oh! You again!
Shop2,,BUDDEE,unsure,Not that that's surprising or anything…
Shop2,,BUDDEE,smile,Keep in mind if you're unhappy with my selection you can always pay to <b>reroll</b> your options!
